Number,Town,Taxpayers,Tax,Rural,Problem,Group,Rank,Log_Taxpayers,Log_Tax,Log_Rank,GroupN
65,Hull,284,108,0,1,3,45,5.648974238,4.682131227,3.80666249,Problematic Returns
66,Beverly,266,63,0,1,3,47,5.583496309,4.143134726,3.850147602,Problematic Returns
67,Derby,232,32,0,1,3,60,5.446737372,3.465735903,4.094344562,Problematic Returns
68,Wells,221,61,0,1,3,64,5.398162702,4.110873864,4.158883083,Problematic Returns
69,Pontefract,181,15,1,1,4,80,5.198497031,2.708050201,4.382026635,Both Rural and Problem
70,Selby,170,10,1,1,4,87,5.135798437,2.302585093,4.465908119,Both Rural and Problem
71,Manchester,163,32,1,1,4,91,5.093750201,3.465735903,4.510859507,Both Rural and Problem
72,Maidstone,480,169,1,0,2,21,6.173786104,5.129898715,3.044522438,Rural/Municipal
73,Crediton,433,74,1,0,2,26,6.070737728,4.304065093,3.258096538,Rural/Municipal
74,Huntingdon,433,82,1,0,2,27,6.070737728,4.406719247,3.295836866,Rural/Municipal
75,Tiverton,289,53,1,0,2,41,5.666426688,3.970291914,3.713572067,Rural/Municipal
76,Lavenham,199,180,1,0,2,73,5.293304825,5.192956851,4.290459441,Rural/Municipal
77,Maldon,193,72,1,0,2,74,5.262690189,4.276666119,4.304065093,Rural/Municipal
78,St Neots,193,34,1,0,2,75,5.262690189,3.526360525,4.317488114,Rural/Municipal
79,Woodbridge,192,45,1,0,2,76,5.257495372,3.80666249,4.33073334,Rural/Municipal
80,Henley-on-Thames,191,41,1,0,2,77,5.252273428,3.713572067,4.343805422,Rural/Municipal
81,Wellingborough,188,30,1,0,2,78,5.236441963,3.401197382,4.356708827,Rural/Municipal
82,Croydon,185,37,1,0,2,79,5.220355825,3.610917913,4.369447852,Rural/Municipal
83,Modbury,179,50,1,0,2,81,5.187385806,3.912023005,4.394449155,Rural/Municipal
84,Petworth,178,29,1,0,2,82,5.18178355,3.36729583,4.406719247,Rural/Municipal
85,High Wycombe ,175,44,1,0,2,83,5.164785974,3.784189634,4.418840608,Rural/Municipal
86,Holbeach,174,31,1,0,2,84,5.159055299,3.433987204,4.430816799,Rural/Municipal
87,Torrington,173,19,1,0,2,85,5.153291594,2.944438979,4.442651256,Rural/Municipal
88,Dorchester,171,77,1,0,2,86,5.141663557,4.343805422,4.454347296,Rural/Municipal
89,Wolverhampton,168,27,1,0,2,88,5.123963979,3.295836866,4.477336814,Rural/Municipal
90,Penryn,164,20,1,0,2,89,5.099866428,2.995732274,4.48863637,Rural/Municipal
91,Oundle,164,34,1,0,2,90,5.099866428,3.526360525,4.49980967,Rural/Municipal
92,Devizes ,158,50,1,0,2,92,5.062595033,3.912023005,4.521788577,Rural/Municipal
93,Louth,151,38,1,0,2,93,5.017279837,3.63758616,4.532599493,Rural/Municipal
