Number,Town,County,Taxpayers,Tax,Rural,Problem,grp,Lat,Lon,per_cap,RankPop,LogTaxpayers,LogTax,LogRankPop,Resid,per_cap
85,High Wycombe ,Buckinghamshire,175,44,1,0,1,51.628611,-0.748229,0.251428571,83,5.164785974,3.784189634,4.418840608,0.20985994,0.251428571
86,Holbeach,Lincolnshire,174,31,1,0,1,52.803991,0.013434,0.17816092,84,5.159055299,3.433987204,4.430816799,-0.133067398,0.17816092
87,Torrington,Devon,173,19,1,0,1,50.9457976,-4.135729,0.10982659,85,5.153291594,2.944438979,4.442651256,-0.6152986,0.10982659
88,Dorchester,Dorset,171,77,1,0,1,50.7111639,-2.441181,0.450292398,86,5.141663557,4.343805422,4.454347296,0.798829637,0.450292398
89,Wolverhampton,Staffordshire,168,27,1,0,1,52.586973,-2.12882,0.160714286,88,5.123963979,3.295836866,4.477336814,-0.226669306,0.160714286
90,Penryn,Cornwall,164,20,1,0,1,50.169173,-5.107088,0.12195122,89,5.099866428,2.995732274,4.48863637,-0.496182056,0.12195122
91,Oundle,Northamptonshire,164,34,1,0,1,52.4808407,-0.4687516,0.207317073,90,5.099866428,3.526360525,4.49980967,0.034446195,0.207317073
92,Devizes ,Wiltshire,158,50,1,0,1,51.3489069,-1.994828,0.316455696,92,5.062595033,3.912023005,4.521788577,0.467424711,0.316455696
93,Louth,Lincolnshire,151,38,1,0,1,53.36596,-0.007728,0.251655629,93,5.017279837,3.63758616,4.532599493,0.250515507,0.251655629
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1194,,,,
