County,SumLogResid,AvgLogResid,MaxLogResid,StdevLogResid,Towns,DMVs,DMVs_km2,Markets1588,Markets1588_km2,Tax1524/5,1524/5_km2,1515Tax,1515Tax_km2,CoT1515_1377,1086%Pop,1290%Pop,1377%Pop,1600%Pop,1522Pop,1522PopDens,CoT1086_1290,CoT1290_1377,CoT1377_1600,km2,Lon,Lat,TownTaxpay,TownTax,TownTax/TotTax,TownTaxpay_km2,TownTax_km2,RuralTax,RuralTax_km2
Leicestershire,-0.03389237,-0.03389237,-0.03389237,0,1,67,0.030945774,10,0.004618772,1109.5,0.512452777,31294,14.45398575,2.94,2.24,1.48,2.45,1.53,35955,16.60679548,0.3,-0.16,0.01,2165.077546,-1.086712287,52.69149859,427,107,0.096439838,0.197221573,0.049420863,1002.5,0.463031914
Lincolnshire,0.449452046,0.074908674,0.593367793,0.42215412,6,220,0.031595063,29,0.004164804,2991,0.429549249,80240,11.52358133,1.75,8.21,8.13,6.88,4.21,98935,14.20844365,0.5,-0.93,0,6963.113092,-0.319662457,53.1705242,1742,443,0.148111,0.250175457,0.063620969,2548,0.36592828
Middlesex,0.071136326,0.035568163,0.105094033,0.098324428,2,0,0,3,0.004062955,1029.5,1.394270739,42760,57.91065256,8.21,2.34,1.63,2.5,6.81,160035,216.7383368,0.33,-0.25,0.68,738.378832,-0.25414036,51.55332859,434,99,0.096163186,0.587774163,0.134077516,930.5,1.260193223
Norfolk,1.014725334,0.169120889,1.369909613,0.661935136,6,148,0.02778226,30,0.005631539,3869.5,0.726374703,111138,20.86260027,2.21,8.68,10.25,7.07,4.16,97760,18.35130921,0.59,-1.16,-0.01,5327.140364,0.912902071,52.68595521,2990,1313,0.339320326,0.561276744,0.246473701,2556.5,0.479901002
Northamptonshire,-0.591711025,-0.147927756,0.034446195,0.175499302,4,82,0.031693204,10,0.003865025,1893,0.731649218,47735,18.44969648,2.81,2.73,3.06,3.02,2.21,51935,20.07300695,0.56,-0.75,0.08,2587.305436,-0.793976054,52.34010837,1038,199,0.105124142,0.401189587,0.076913996,1694,0.654735222
Nottinghamshire,-0.211897424,-0.211897424,-0.211897424,0,1,67,0.030664193,8,0.003661396,528,0.241652144,16931,7.748887222,1.72,1.84,1.48,2.09,1.9,44650,20.43516712,0.4,-0.34,0.18,2184.958887,-0.993001432,53.15713731,295,56,0.106060606,0.135013982,0.025629773,472,0.216022371
Oxfordshire,-0.306079448,-0.153039724,0.02817705,0.256279219,2,103,0.052741211,10,0.005120506,1201,0.614972762,34493,17.6621611,1.75,2.29,1.91,1.98,1.63,38305,19.61409796,0.41,-0.7,0.14,1952.932023,-1.242708872,51.81027169,724,146,0.121565362,0.370724629,0.074759387,1055,0.540213375
Shropshire,-0.412954637,-0.412954637,-0.412954637,0,1,9,0.002587782,12,0.003450376,424,0.121913295,13398,3.852345097,1.3,1.63,2.41,1.94,1.92,45120,12.97341475,0.7,-0.98,0.22,3477.881566,-2.725904666,52.65011254,550,101,0.238207547,0.158142245,0.029040667,323,0.092872628
Somerset,0.362818659,0.090704665,0.240272415,0.149576861,4,27,0.006380928,31,0.007326251,3106,0.734043053,107435,25.39018526,5.41,4.57,3.18,4.06,4.11,96585,22.82599752,0.32,-0.46,0.23,4231.359436,-2.922856098,51.14981199,942,234,0.075338055,0.222623489,0.055301376,2872,0.678741677
Staffordshire,-1.238058514,-0.619029257,-0.226669306,0.554880765,2,22,0.00721776,13,0.00426504,600,0.196848007,15977,5.241734341,1.99,1.06,1.19,1.63,1.88,44180,14.4945749,0.56,-0.38,0.29,3048.036959,-2.040346845,52.77733147,559,63,0.105,0.183396726,0.020669041,537,0.176178966
Suffolk,2.63647403,0.329559254,1.455472476,0.550041886,8,23,0.005903243,26,0.006673231,3598,0.923472498,83056,21.31737959,4.11,6.65,4.75,4.52,3.36,78960,20.26608906,0.34,-0.79,0.09,3896.163674,1.00691651,52.25804685,2604,971,0.269872151,0.668349746,0.24921951,2627,0.674252988
Sussex,-0.374608234,-0.124869411,-0.026320292,0.101245959,3,41,0.010769736,19,0.004990853,2323,0.610197474,50753,13.33161962,3.21,3.88,2.6,2.62,2.48,58280,15.30878552,0.31,-0.73,0.2,3806.964302,-0.092842821,50.94708159,686,135,0.058114507,0.180196068,0.035461325,2188,0.574736148
Warwickshire,0.726014417,0.726014417,0.726014417,0,1,128,0.053796617,15,0.006304291,1201.5,0.504973715,33962,14.27375557,2.82,2.17,1.83,2.19,1.59,37365,15.70398907,0.42,-0.53,0.08,2379.331763,-1.638142498,52.30472891,725,448,0.372867249,0.304707402,0.18828816,753.5,0.316685555
Wiltshire,1.467172313,0.489057438,0.516432594,0.025003495,3,104,0.02921466,22,0.006180024,3580.5,1.005798955,75135,21.10618754,3.3,3.72,3.36,3.31,2.8,65800,18.48389086,0.45,-0.75,0.15,3559.856552,-1.895064027,51.30345347,1194,546,0.152492669,0.335406773,0.153376967,3034.5,0.852421988
Worcestershire,0.237126218,0.237126218,0.237126218,0,1,7,0.003809565,10,0.005442235,781,0.425038567,24870,13.53483889,3.49,1.55,1.27,1.16,1.59,37365,20.33491175,0.41,-0.84,0.37,1837.480313,-2.167411395,52.21004684,499,171,0.218950064,0.271567535,0.093062222,610,0.331976346
Yorkshire,-1.787258889,-0.357451778,0.493124532,0.704867083,5,375,0.02379422,44,0.002791855,2064,0.130963389,45372,2.878910306,1.5,2.6,8.56,9.47,8.89,208915,13.25591877,1.09,-0.62,0.19,15760.12976,-1.396294314,54.01118025,1772,426,0.206395349,0.112435622,0.027030234,1638,0.103933154
